Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
CLM,3.0,10.0,3.0
CLMB,,,
CLMT,,,
CLNE,,,
CLNN,,,
CLOE,,,
CLOER,,,
CLOV,,,
CLPR,,,
CLPS,,,
CLPT,,,
CLRB,,,
CLRC,,,
CLRCR,,,
CLRCU,,,
CLRO,,,
CLS,,,
CLSD,,,
CLSK,,,
CLST,,,
CLVR,,,
CLVRW,,,
CLVT,,,
CLVT^A,,,
CLW,,,
CLWT,,,
CLX,6.0,9.0,6.0
CLXT,,,
CM,2.0,8.0,2.0
CMA,2.0,11.0,2.0
CMAX,,,
CMAXW,,,
CMBM,,,
CMC,,,
CMCA,,,
CMCAW,,,
CMCL,,,
CMCM,,,
CMCO,,,
CMCSA,5.0,12.0,5.0
CMCT,,,
CME,2.0,6.0,2.0
CMG,6.0,13.0,6.0
CMI,6.0,8.0,6.0
CMLS,,,
CMMB,,,
CMND,,,
CMP,,,
CMPO,,,
CMPOW,,,
CMPR,,,
CMPS,,,
CMPX,,,
CMRA,,,
CMRAW,,,
CMRE,,,
CMRE^B,,,
CMRE^C,,,
CMRE^D,,,
CMRE^E,,,
CMRX,,,
